"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","Same as homepage — NOT page-specific","Not yet"
"6","Schema markup","No page-specific schema","Not yet"
"7","Twitter Card tags","Missing","Not yet"
"","","","",""
"","","PAGE — /notebook","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","Same as homepage — NOT page-specific","Not yet"
"6","Schema markup","No page-specific schema","Not yet"
"7","Twitter Card tags","Missing","Not yet"
"","","","",""
"","","PAGE — /community","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","Same as homepage — NOT page-specific","Not yet"
"6","Schema markup","No page-specific schema","Not yet"
"7","Twitter Card tags","Missing","Not yet"
"","","","",""
"","","PAGE — /upgrade","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","Same as homepage — NOT page-specific","Not yet"
"6","Schema markup","No page-specific schema","Not yet"
"7","Twitter Card tags","Missing","Not yet"
"","","","",""
"","","PAGE — /other/introduction","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /other/privacy-policy","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /other/term","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /other/help","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-1","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-2","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-3","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-4","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-5","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/HSK-6","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/TOCFL-1","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/TOCFL-2","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/TOCFL-3","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/TOCFL-4","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /notebook/detail/TOCFL-5","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/A1","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/A2","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/B1","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/B2","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/C1","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /search/grammar/C2","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"5","Schema markup","No page-specific schema","Not yet"
"","","","",""
"","","PAGE — /guide/online-payment","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/payment-policy","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/check-goods","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/personal-information-security","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/shipping-receiving-policy","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/resolve-complaints","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
"","","","",""
"","","PAGE — /guide/exchange-refund","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","OG tags","Same as homepage — NOT page-specific","Not yet"
